Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:North Kesteven,1392,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,9,0,0
ladu:South Holland,1187,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,6,5,0,0
ladu:South Kesteven,1593,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,9,12,0,0
ladu:West Lindsey,1165,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,9,0,0
ladu:Ashfield,1439,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,6,5,0,0
ladu:Bassetlaw,1451,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,8,11,0,0
ladu:Broxtowe,1271,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,7,9,0,0
ladu:Gedling,1384,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,5,0,0
ladu:Mansfield,1331,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,12,7,0,0
ladu:Newark and Sherwood,1400,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,9,0,0
ladu:Rushcliffe,1129,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,5,5,5,0
ladu:North Northamptonshire,3602,0,0,0,0,0,0,0,0,0,0,0,33,0,14,0,0,0,0,10,20,5,0
ladu:West Northamptonshire,3807,10,0,0,0,0,0,0,0,0,0,0,43,0,11,0,0,0,0,5,15,0,0
"ladu:Herefordshire, County of",2306,5,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,14,25,0,0
ladu:Shropshire,3912,5,0,0,0,0,0,0,0,0,0,0,44,0,6,0,0,0,0,17,37,0,0
ladu:Stoke-on-Trent,3072,9,0,0,0,0,0,0,0,0,0,0,33,0,11,0,0,0,0,32,27,0,0
ladu:Telford and Wrekin,1756,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,11,17,0,0
ladu:Cannock Chase,1060,5,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,8,11,0,0
ladu:East Staffordshire,1369,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,5,18,0,0
ladu:Lichfield,1277,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,9,0,0
ladu:Newcastle-under-Lyme,1556,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,10,8,0,0
ladu:South Staffordshire,1429,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,9,9,0,0
ladu:Stafford,1578,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,5,19,0,0
