Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:Salford,2421,10,0,0,0,0,0,0,0,5,0,0,37,0,12,0,0,0,0,23,29,0,0
ladu:Stockport,3157,7,0,0,0,0,0,0,0,0,0,0,38,0,11,0,0,0,0,35,27,0,0
ladu:Tameside,2460,5,0,0,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,40,22,0,0
ladu:Trafford,2178,0,0,0,0,0,0,0,0,0,0,0,22,0,12,0,0,0,0,21,18,0,0
ladu:Wigan,3701,5,0,0,0,0,0,0,0,0,0,0,54,0,25,0,0,0,0,30,41,0,0
ladu:Burnley,1086,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,13,11,0,0
ladu:Chorley,1274,5,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,0,0,7,10,0,0
ladu:Fylde,1208,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,18,5,0,0
ladu:Hyndburn,936,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,8,5,0,0
ladu:Lancaster,1648,12,0,0,0,0,0,0,0,0,0,0,26,0,5,0,0,0,0,20,16,0,0
ladu:Pendle,927,5,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,5,8,0,0
ladu:Preston,1370,5,0,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,0,17,23,0,0
ladu:Ribble Valley,586,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0
ladu:Rossendale,801,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,7,0,0
ladu:South Ribble,1160,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,7,9,0,0
ladu:West Lancashire,1415,5,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,9,8,0,0
ladu:Wyre,1628,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,15,15,0,0
ladu:Knowsley,1639,0,0,0,0,0,0,0,0,0,0,0,19,0,9,0,0,0,0,24,21,0,0
ladu:Liverpool,4734,21,0,0,0,0,0,0,0,0,0,0,72,0,18,0,0,0,0,71,48,5,0
ladu:Sefton,3629,7,0,0,0,0,0,0,0,0,0,0,56,0,12,0,0,0,0,34,35,0,0
ladu:St. Helens,2194,5,0,0,0,0,0,0,0,0,0,0,33,0,16,0,0,0,0,24,21,0,0
ladu:Wirral,3891,20,0,0,0,0,0,0,0,0,0,0,40,0,17,0,0,0,0,37,28,0,0
ladu:East Riding of Yorkshire,4389,7,0,0,0,0,0,0,0,5,0,0,29,0,13,0,0,0,0,17,33,0,0
"ladu:Kingston upon Hull, City of",2692,5,0,0,0,0,0,0,0,0,0,0,38,0,11,0,0,0,0,63,29,6,0
ladu:North East Lincolnshire,1935,5,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,12,17,0,0
ladu:North Lincolnshire,1973,5,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,7,11,0,0
ladu:York,2010,6,0,0,0,0,0,0,0,0,0,0,31,0,7,0,0,0,0,18,17,0,0
ladu:Craven,682,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0
ladu:Hambleton,1016,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,6,8,0,0
ladu:Harrogate,1864,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,11,18,0,0
ladu:Richmondshire,530,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0
ladu:Ryedale,660,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,7,0,0
ladu:Scarborough,1542,6,0,0,0,0,0,0,0,0,0,0,14,0,8,0,0,0,0,15,16,0,0
ladu:Selby,877,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,8,0,0
ladu:Barnsley,2876,0,0,0,0,0,0,0,0,0,0,0,42,0,7,0,0,0,0,43,28,5,0
ladu:Doncaster,3566,12,0,0,0,0,0,0,0,5,0,0,49,0,10,0,0,0,0,46,32,5,0
ladu:Rotherham,2989,7,0,0,0,0,0,0,0,0,0,0,33,0,9,0,0,0,0,20,29,0,0
ladu:Sheffield,5545,27,0,0,0,0,0,0,0,0,0,0,61,0,6,0,0,0,0,43,46,0,0
ladu:Bradford,4956,16,0,0,0,0,0,0,0,0,0,0,78,0,15,0,0,0,0,42,49,0,0
ladu:Calderdale,2075,10,0,0,0,0,0,0,0,0,0,0,32,0,5,0,0,0,0,19,28,0,0
ladu:Kirklees,4223,12,0,0,0,0,0,0,0,0,0,0,52,0,5,0,5,0,0,30,41,0,0
ladu:Leeds,7016,15,0,0,0,0,0,0,0,0,0,0,88,0,25,0,0,5,0,70,70,0,0
ladu:Wakefield,3806,5,0,0,0,0,0,0,0,0,0,0,53,0,10,0,0,0,0,60,46,0,0
ladu:Derby,2598,14,0,0,0,0,0,0,0,5,0,0,43,0,13,0,0,0,0,28,25,0,0
ladu:Leicester,2818,9,0,0,0,0,0,0,0,0,0,0,63,0,8,0,0,0,0,28,33,6,0
ladu:Nottingham,2431,5,0,0,0,0,0,0,0,0,0,0,43,0,10,0,0,0,0,37,15,0,0
ladu:Rutland,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0
ladu:Amber Valley,1419,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,0,0,0,10,16,0,0
ladu:Bolsover,955,5,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,9,5,0,0
ladu:Chesterfield,1274,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,19,14,0,0
ladu:Derbyshire Dales,919,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,10,0,0
ladu:Erewash,1301,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,14,11,0,0
ladu:High Peak,942,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,6,5,0,0
ladu:North East Derbyshire,1280,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,7,0,0
ladu:South Derbyshire,1016,7,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,6,5,0,0
ladu:Blaby,942,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,7,0,0
ladu:Charnwood,1683,5,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,14,15,0,0
ladu:Harborough,1028,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,8,7,0,0
ladu:Hinckley and Bosworth,1200,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,5,14,0,0
ladu:Melton,557,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,5,10,0,0
ladu:North West Leicestershire,995,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,11,5,0,0
ladu:Oadby and Wigston,654,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0
ladu:Boston,868,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,11,5,0
ladu:East Lindsey,2221,0,0,0,0,0,0,0,0,0,0,0,17,0,9,0,0,0,0,8,12,0,0
ladu:Lincoln,961,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,16,16,0,0
ladu:North Kesteven,1306,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,6,12,0,0
ladu:South Holland,1169,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,9,17,0,0
ladu:South Kesteven,1550,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,7,12,0,0
ladu:West Lindsey,1140,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,6,7,0,0
ladu:Ashfield,1445,5,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,15,8,0,0
ladu:Bassetlaw,1388,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,7,9,0,0
ladu:Broxtowe,1205,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,5,7,0,0
ladu:Gedling,1222,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,6,5,0,0
ladu:Mansfield,1234,5,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,14,7,0,0
ladu:Newark and Sherwood,1407,5,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,13,10,0,0
ladu:Rushcliffe,1140,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,5,8,0,0
ladu:North Northamptonshire,3528,7,0,0,0,0,0,0,0,0,0,0,44,0,12,0,0,0,0,13,31,5,0
ladu:West Northamptonshire,3631,6,0,0,0,0,0,0,0,0,0,0,43,0,18,0,0,0,0,20,26,0,0
"ladu:Herefordshire, County of",2331,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,13,15,0,0
ladu:Shropshire,3947,13,0,0,0,0,0,0,0,0,0,0,37,0,6,0,0,0,0,25,38,0,0
ladu:Stoke-on-Trent,2616,6,0,0,0,0,0,0,0,0,0,0,48,0,5,0,0,0,0,24,26,0,0
ladu:Telford and Wrekin,1758,0,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,20,15,0,0
ladu:Cannock Chase,1045,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,5,10,0,0
ladu:East Staffordshire,1163,5,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,5,9,0,0
ladu:Lichfield,1162,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,12,0,0
ladu:Newcastle-under-Lyme,1417,0,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,8,14,0,0
ladu:South Staffordshire,1303,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0
ladu:Stafford,1451,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,5,12,0,0
ladu:Staffordshire Moorlands,1192,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,5,0,0
ladu:Tamworth,745,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0
ladu:North Warwickshire,785,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,6,0,0
ladu:Nuneaton and Bedworth,1423,5,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,0,0,7,14,0,0
ladu:Rugby,1109,5,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,8,8,0,0
ladu:Stratford-on-Avon,1586,5,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,5,8,0,0
ladu:Warwick,1402,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,5,7,0,0
ladu:Birmingham,9106,30,0,0,0,0,0,0,0,5,0,0,138,0,18,0,0,0,0,86,78,0,0
ladu:Coventry,3021,9,0,0,0,0,0,0,0,0,0,0,44,0,6,0,5,0,0,28,22,5,0
ladu:Dudley,3487,7,0,0,0,0,0,0,0,0,0,0,58,0,14,0,0,0,0,14,20,0,0
ladu:Sandwell,3093,6,0,0,0,0,0,0,0,0,0,0,59,0,20,0,0,0,0,20,30,0,0
ladu:Solihull,2330,5,0,0,0,0,0,0,0,0,0,0,29,0,14,0,0,0,0,7,18,0,0
ladu:Walsall,2856,5,0,0,0,0,0,0,0,0,0,0,37,0,10,0,0,0,0,19,29,0,0
ladu:Wolverhampton,2697,10,0,0,0,0,0,0,0,0,0,0,41,0,5,0,0,0,0,17,22,0,0
ladu:Bromsgrove,1220,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,5,13,0,0
ladu:Malvern Hills,1088,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0
ladu:Redditch,750,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,9,0,0
ladu:Worcester,909,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,8,9,0,0
ladu:Wychavon,1502,5,0,0,0,0,0,0,0,0,0,0,19,0,5,0,5,0,0,6,13,0,0
ladu:Wyre Forest,1293,5,0,0,0,0,0,0,0,0,0,0,19,0,8,0,0,0,0,0,11,0,0
ladu:Bedford,1643,5,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,13,17,0,0
ladu:Central Bedfordshire,2484,5,0,0,0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,8,25,0,0
ladu:Luton,1598,5,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,22,13,0,0
ladu:Peterborough,1850,5,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,15,26,0,0
ladu:Southend-on-Sea,1897,5,0,0,0,0,0,0,0,0,0,0,31,0,11,0,0,0,0,9,11,0,0
ladu:Thurrock,1310,5,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,6,8,0,0
ladu:Cambridge,900,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,16,0,0
ladu:East Cambridgeshire,783,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,6,0,0
ladu:Fenland,1240,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,5,0,0,5,10,0,0
ladu:Huntingdonshire,1734,5,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,13,14,0,0
ladu:South Cambridgeshire,1439,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,8,7,0,0
ladu:Basildon,1593,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,7,7,0,0
ladu:Braintree,1572,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,8,8,0,0
ladu:Brentwood,755,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0
ladu:Castle Point,1076,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,7,0,0
ladu:Chelmsford,1649,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,9,15,0,0
ladu:Colchester,1704,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,19,15,0,0
ladu:Epping Forest,1285,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,7,11,0,0
ladu:Harlow,759,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,5,0,0
ladu:Maldon,777,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0
ladu:Rochford,881,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,5,7,0,0
ladu:Tendring,2355,5,0,0,0,0,0,0,0,0,0,0,18,0,11,0,0,0,0,10,15,0,0
ladu:Uttlesford,775,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0
ladu:Broxbourne,806,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,6,0,0
ladu:Dacorum,1322,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,10,13,0,0
ladu:East Hertfordshire,1256,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,7,0,0
ladu:Hertsmere,902,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,7,0,0
ladu:North Hertfordshire,1295,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,11,0,0
ladu:St Albans,1209,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,5,11,0,0
ladu:Stevenage,763,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,7,6,0,0
ladu:Three Rivers,754,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,6,6,0,0
ladu:Watford,717,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0
ladu:Welwyn Hatfield,958,5,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,5,9,0,0
ladu:Breckland,1822,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,8,10,0,0
ladu:Broadland,1639,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,8,11,0,0
ladu:Great Yarmouth,1399,5,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,8,9,0,0
ladu:King's Lynn and West Norfolk,1973,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,8,8,0,0
ladu:North Norfolk,1640,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,14,5,0,0
ladu:Norwich,1233,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,20,11,0,0
ladu:South Norfolk,1578,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,8,10,0,0
ladu:Babergh,1038,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0
ladu:Ipswich,1246,5,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,14,8,0,0
ladu:Mid Suffolk,1126,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,6,0,0
ladu:East Suffolk,3315,5,0,0,0,0,0,0,0,0,0,0,24,0,8,0,0,0,0,10,36,0,0
ladu:West Suffolk,1787,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,9,17,0,0
ladu:Camden,1134,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,23,17,0,0
ladu:City of London,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ladu:Hackney,1192,5,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,17,22,0,0
ladu:Hammersmith and Fulham,934,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,5,0,0
ladu:Haringey,1336,5,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,16,11,0,0
ladu:Islington,1095,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,0,0,0,26,16,0,0
ladu:Kensington and Chelsea,858,0,0,0,0,0,0,0,0,5,0,0,7,0,5,0,0,0,0,12,9,0,0
ladu:Lambeth,1593,5,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,24,14,0,0
ladu:Lewisham,1636,9,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,21,14,0,0
ladu:Newham,1444,0,0,0,0,0,0,0,0,0,0,0,28,0,9,0,0,0,0,19,11,0,0
ladu:Southwark,1390,6,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,22,13,0,0
ladu:Tower Hamlets,1140,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,13,18,0,0
ladu:Wandsworth,1514,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,10,18,0,0
ladu:Westminster,1050,5,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,19,11,0,0
ladu:Barking and Dagenham,1282,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,8,8,0,0
ladu:Barnet,2569,5,0,0,0,0,0,0,0,0,0,0,24,0,10,0,0,0,0,8,14,0,0
ladu:Bexley,2145,7,0,0,0,0,0,0,0,0,0,0,26,0,9,0,0,0,0,6,11,0,0
ladu:Brent,1888,8,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,16,11,0,0
ladu:Bromley,2595,5,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,13,21,0,0
ladu:Croydon,2640,8,0,0,0,0,0,0,0,0,0,0,21,0,14,0,0,0,0,23,16,0,0
ladu:Ealing,2121,5,0,0,0,0,0,0,0,0,0,0,32,0,18,0,0,0,0,22,29,0,0
ladu:Enfield,2132,0,0,0,0,0,0,0,0,0,0,0,23,0,6,0,0,0,0,15,11,0,0
ladu:Greenwich,1623,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,17,15,0,0
ladu:Harrow,1713,5,0,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,10,10,0,0
ladu:Havering,2430,5,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,0,0,11,21,0,0
ladu:Hillingdon,2129,5,0,0,0,0,0,0,0,0,0,0,37,0,9,0,0,0,0,17,15,5,0
ladu:Hounslow,1652,0,0,0,0,0,0,0,0,0,0,0,21,0,7,0,0,0,0,11,14,5,0
ladu:Kingston upon Thames,1142,5,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,7,8,0,0
ladu:Merton,1271,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,6,13,0,0
ladu:Redbridge,1937,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0,10,22,0,0
ladu:Richmond upon Thames,1312,5,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,8,20,0,0
ladu:Sutton,1548,5,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,14,8,0,0
ladu:Waltham Forest,1529,5,0,0,0,0,0,0,0,0,0,0,16,0,11,0,0,0,0,10,14,0,0
ladu:Bracknell Forest,922,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,5,0,0
ladu:Brighton and Hove,2135,12,0,0,0,0,0,0,0,0,0,5,36,0,7,0,0,0,0,36,42,0,0
ladu:Isle of Wight,1878,5,0,0,0,0,0,0,0,0,0,0,22,0,6,0,0,0,0,9,10,0,0
ladu:Medway,2427,7,0,0,0,0,0,0,0,0,0,0,24,0,13,0,0,0,0,24,19,0,0
ladu:Milton Keynes,2018,5,0,0,0,0,0,0,0,0,0,0,22,0,9,0,0,0,0,22,20,5,0
ladu:Portsmouth,1793,5,0,0,0,0,0,0,0,0,0,0,26,0,7,0,0,0,0,18,18,0,0
ladu:Reading,1206,6,0,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,15,9,5,0
ladu:Slough,924,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,8,12,0,0
ladu:Southampton,1948,6,0,0,0,0,0,0,0,0,0,0,32,0,12,0,0,0,0,20,23,0,0
ladu:West Berkshire,1350,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,6,5,0,0
ladu:Windsor and Maidenhead,1331,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,5,14,0,0
