Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:Darlington,1273,5,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,12,10,0,0
ladu:County Durham,6218,18,0,0,0,0,0,0,0,0,0,0,84,0,21,0,0,0,0,57,61,0,0
ladu:Hartlepool,1064,7,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,8,6,0,0
ladu:Middlesbrough,1535,10,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,33,21,0,0
ladu:Northumberland,3926,12,0,0,0,0,0,0,0,0,0,0,53,0,13,0,0,0,0,29,26,0,0
ladu:Redcar and Cleveland,1738,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,20,14,0,0
ladu:Stockton-on-Tees,2037,10,0,0,0,0,0,0,0,0,0,0,30,0,11,0,0,0,0,27,23,0,0
ladu:Gateshead,2287,0,0,0,0,0,0,0,0,0,0,0,37,0,9,0,0,0,0,28,16,0,0
ladu:Newcastle upon Tyne,2603,11,0,0,0,0,0,0,0,0,0,0,34,0,7,0,0,0,0,47,30,0,0
ladu:North Tyneside,2400,8,0,0,0,0,0,0,0,5,0,0,32,0,9,0,0,0,0,27,22,0,0
ladu:South Tyneside,1814,5,0,0,0,0,0,0,0,0,0,0,37,0,7,0,0,0,0,11,14,0,0
ladu:Sunderland,3273,12,0,0,0,0,0,0,0,0,0,0,46,0,21,0,5,0,0,34,28,0,0
ladu:Blackburn with Darwen,1452,5,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,15,17,0,0
ladu:Blackpool,1951,6,0,0,0,0,0,0,0,0,0,0,28,0,20,0,0,0,0,42,19,0,0
ladu:Cheshire East,4411,5,0,0,0,0,0,0,0,0,0,0,55,0,10,0,0,0,0,14,25,0,0
ladu:Cheshire West and Chester,3796,5,0,0,0,0,0,0,0,5,0,0,36,0,16,0,0,0,0,28,38,0,0
ladu:Halton,1386,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,0,0,9,11,0,0
ladu:Warrington,2129,0,0,0,0,0,0,0,0,0,0,0,32,0,5,0,0,0,0,15,16,0,0
ladu:Allerdale,1264,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,14,14,0,0
ladu:Barrow-in-Furness,866,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,15,7,0,0
ladu:Carlisle,1311,5,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,21,17,0,0
ladu:Copeland,834,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,11,0,0
ladu:Eden,612,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,5,9,0,0
ladu:South Lakeland,1341,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,5,6,0,0
ladu:Bolton,2983,9,0,0,0,0,0,0,0,0,0,0,48,0,11,0,0,0,0,22,28,5,0
ladu:Bury,2026,5,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,18,19,0,0
ladu:Manchester,3688,9,0,0,0,0,0,0,0,5,0,0,69,0,13,0,0,0,0,69,53,0,0
ladu:Oldham,2345,0,0,0,0,0,0,0,0,0,0,0,39,0,5,0,0,0,0,24,11,0,0
ladu:Rochdale,2188,0,0,0,0,0,0,0,0,0,0,0,45,0,10,0,0,0,0,22,25,5,0
