Area,"A00-R99,U00-Y89 All causes, all ages",F10-F19 Mental and behavioural disorders due to psychoactive substance use,G31.2 Degeneration of nervous system due to alcohol,G62.0 Drug-induced polyneuropathy,G62.1 Alcoholic polyneuropathy,G62.2 Polyneuropathy due to other toxic agents,G72.0 Drug-induced myopathy,G72.1 Alcoholic myopathy,G72.2 Myopathy due to other toxic agents,I42.6 Alcoholic cardiomyopathy,I42.7 Cardiomyopathy due to drugs and other external agents,K29.2 Alcoholic gastritis,K70 Alcoholic liver disease,"K73 Chronic hepatitis, not elsewhere classified",K74 Fibrosis and cirrhosis of liver,K74.2 Hepatic fibrosis with hepatic sclerosis,K85.2 Alcohol-induced acute pancreatitis,K86.0 Alcohol-induced chronic pancreatitis,"R78 Findings of drugs and other substances, not normally found in blood",X40-X49 Accidental poisoning by and exposure to noxious substances,X60-X84 Intentional self-harm,X85-Y09 Assault,"Y15 Poisoning by and exposure to alcohol, undetermined intent"
ladu:Darlington,1237,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,9,24,0,0
ladu:County Durham,6272,13,0,0,0,0,0,0,0,0,0,0,89,0,50,0,5,0,0,60,84,5,0
ladu:Hartlepool,1079,5,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,18,13,0,0
ladu:Middlesbrough,1620,8,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,35,12,0,0
ladu:Northumberland,3997,7,0,0,0,0,0,0,0,0,0,0,42,0,17,0,0,0,0,30,36,0,0
ladu:Redcar and Cleveland,1698,5,0,0,0,0,0,0,0,0,0,0,26,0,5,0,0,0,0,19,19,0,0
ladu:Stockton-on-Tees,1947,5,0,0,0,0,0,0,0,0,0,0,23,0,6,0,0,0,0,33,15,0,0
ladu:Gateshead,2289,5,0,0,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,36,15,0,0
ladu:Newcastle upon Tyne,2562,0,0,0,0,0,0,0,0,0,0,0,41,0,13,0,0,0,0,49,28,0,0
ladu:North Tyneside,2406,5,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,39,25,0,0
ladu:South Tyneside,1756,5,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,15,8,0,0
ladu:Sunderland,3411,9,0,0,0,0,0,0,0,0,0,0,78,0,17,0,0,0,0,37,25,5,0
ladu:Blackburn with Darwen,1526,0,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,19,11,0,0
ladu:Blackpool,2067,5,0,0,0,0,0,0,0,0,0,0,38,0,14,0,0,0,0,33,21,0,0
ladu:Cheshire East,4231,5,0,0,0,0,0,0,0,0,0,0,43,0,17,0,0,0,0,20,44,0,0
ladu:Cheshire West and Chester,3704,6,0,0,0,0,0,0,0,0,0,0,48,0,10,0,0,0,0,28,40,5,0
ladu:Halton,1297,0,0,0,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,8,10,0,0
ladu:Warrington,2157,0,0,0,0,0,0,0,0,0,0,0,37,0,8,0,0,0,0,15,14,0,0
ladu:Allerdale,1347,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,14,10,0,0
ladu:Barrow-in-Furness,835,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,13,7,0,0
ladu:Carlisle,1361,5,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,17,16,0,0
ladu:Copeland,881,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,9,6,0,0
ladu:Eden,632,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,7,0,0
ladu:South Lakeland,1276,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,5,15,0,0
ladu:Bolton,2985,5,0,0,0,0,0,0,0,0,0,0,64,0,14,0,0,0,0,33,22,0,0
ladu:Bury,2075,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,26,28,0,0
ladu:Manchester,3878,10,0,0,0,0,0,0,0,5,0,0,63,0,12,0,0,0,0,61,60,0,0
ladu:Oldham,2391,0,0,0,0,0,0,0,0,0,0,0,47,0,8,0,0,0,0,26,20,0,0
ladu:Rochdale,2269,0,0,0,0,0,0,0,0,0,0,0,38,0,13,0,0,0,0,31,28,0,0
ladu:Salford,2329,9,0,0,0,0,0,0,0,0,0,0,35,0,6,0,0,0,0,29,22,0,0
ladu:Stockport,2935,0,0,0,0,0,0,0,0,0,0,0,46,0,12,0,0,0,0,26,20,0,0
ladu:Tameside,2446,5,0,0,0,0,0,0,0,0,0,0,30,0,8,0,0,0,0,36,12,5,0
ladu:Trafford,2149,0,0,0,0,0,0,0,0,0,0,0,23,0,5,0,0,0,0,18,26,5,0
ladu:Wigan,3438,6,0,0,0,0,0,0,0,0,0,0,55,0,20,0,0,0,0,37,26,0,0
ladu:Burnley,1092,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,15,8,0,0
ladu:Chorley,1179,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,0,9,15,0,0
ladu:Fylde,1175,0,0,0,0,0,0,0,0,0,0,0,16,0,7,0,0,0,0,6,8,0,0
ladu:Hyndburn,908,0,0,0,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,6,9,0,0
ladu:Lancaster,1652,5,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,21,14,0,0
ladu:Pendle,967,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,5,8,0,0
ladu:Preston,1428,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,0,0,23,24,0,0
ladu:Ribble Valley,692,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0
ladu:Rossendale,753,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,5,6,0,0
ladu:South Ribble,1114,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,7,10,0,0
ladu:West Lancashire,1340,5,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,6,12,0,0
ladu:Wyre,1685,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,13,11,0,0
ladu:Knowsley,1804,0,0,0,0,0,0,0,0,0,0,0,30,0,12,0,0,0,0,12,20,0,0
ladu:Liverpool,4989,11,0,0,0,0,0,0,0,0,0,0,87,0,20,0,0,0,0,56,45,0,0
ladu:Sefton,3654,0,0,0,0,0,0,0,0,0,0,0,47,0,11,0,0,0,0,46,29,0,0
ladu:St. Helens,2282,5,0,0,0,0,0,0,0,0,0,0,24,0,10,0,0,0,0,31,31,0,0
ladu:Wirral,4036,17,0,0,0,0,0,0,0,0,0,0,45,0,12,0,0,0,0,40,31,5,0
ladu:East Riding of Yorkshire,4283,0,0,0,0,0,0,0,0,0,0,0,27,0,7,0,0,0,0,21,32,0,0
